Tourist_ID,Age,Gender,Region,Travel_Group_Size,Duration_of_Stay,Season_of_Visit,Type_of_Accommodation,Purpose_of_Visit,Number_of_Previous_Visits,Spending_per_Day,Distance_from_Home_Country,Satisfaction_Rating,Weather_Conditions,Major_Attractions_Visited,Participation_in_Local_Events,Interaction_with_Locals,Recommendation_Likelihood,Social_Media_Shares,Revisit_Intention
4b0dbb41-8d52-48f1-942c-3fe860e7a113,17,Female,Asian-SAARC,6,0.17857142857142855,Spring,Hostel,Education,6,0.040964212949562276,2725,0.3379398999570008,Sunny,4,Yes,1.0,0.7183009965738382,0.2222222222222222,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,36,Female,North American,3,0.75,Winter,HomeStay,Education,4,0.20633074088336728,3949,0.4693806088590414,Rainy,1,Yes,0.5,0.8976191727245825,0.7777777777777777,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,67,Male,Oceania,5,0.6071428571428571,Spring,Resort,Business,0,0.9251570637883716,1505,0.8579464897884369,Snowy,1,Yes,0.5,0.9023262046213419,0.8888888888888888,1
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,16,Female,Oceania,6,0.4642857142857143,Summer,Resort,Tourism,6,0.36577027011191543,1081,0.2976729206631401,Cloudy,1,Yes,0.0,0.32862164106826475,0.2222222222222222,0
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,38,Female,Oceania,5,0.3214285714285714,Summer,Hotel,Tourism,7,0.10308944149279338,3908,0.9238789804822994,Sunny,4,Yes,0.5,0.9530775408799778,0.0,1
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,58,Male,Asian-SAARC,6,0.4642857142857143,Monsoon,HomeStay,Business,6,0.7023244487909246,241,0.22882019042964166,Snowy,4,No,1.0,0.024738487854644414,0.0,0
7412b293-4729-4739-a14f-f3d719db3ad0,44,Other,North American,8,0.42857142857142855,Monsoon,Resort,Education,3,0.29906295967603513,992,0.7493705637698798,Rainy,0,No,0.5,0.3769879349117018,0.6666666666666666,0
29a3b2e9-5d65-4441-9588-42dea2bc372f,52,Male,Asian-SAARC,7,0.07142857142857142,Summer,HomeStay,Family,7,0.26843831433762494,2499,0.6302210455822252,Cloudy,3,No,0.5,0.8963784933729241,0.4444444444444444,0
ab9099a4-35a2-40ae-9af3-05535ec42e08,16,Female,Oceania,5,0.17857142857142855,Winter,Hotel,Tourism,4,0.9981267531760419,4740,0.7494537239754094,Rainy,3,No,1.0,0.274705113639402,0.0,0
aefcfad8-efc8-4849-b3aa-7efe4458a885,35,Male,North American,6,0.9999999999999999,Spring,Hotel,Tourism,9,0.8581793054445146,3060,0.4366969870240881,Sunny,0,No,0.0,0.27314840356017256,0.5555555555555556,0
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,47,Other,North American,4,0.25,Fall,Hotel,Education,8,0.40762754690347447,2299,0.9327912984989563,Sunny,3,No,1.0,0.3027135592607739,0.5555555555555556,0
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,26,Male,South American,9,0.39285714285714285,Monsoon,Hostel,Education,9,0.9803967066329787,1569,0.6321371066538408,Sunny,4,Yes,0.0,0.6126596274018393,0.3333333333333333,1
451b4cf3-6123-4df7-b656-af7229d4beef,36,Female,South American,4,0.42857142857142855,Fall,HomeStay,Tourism,4,0.649991577127807,2800,0.2874042229669761,Sunny,3,Yes,0.5,0.43853578010582406,0.6666666666666666,0
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,58,Other,Asian-Others,1,0.35714285714285715,Winter,Hotel,Education,0,0.741972391693934,3105,0.6381296483683924,Sunny,4,Yes,0.0,0.7271752819760776,0.6666666666666666,1
5304317f-af42-412f-b838-b3268e944239,39,Female,Europe,7,0.39285714285714285,Monsoon,HomeStay,Family,8,0.03090958252075389,4958,0.2859217725708786,Rainy,0,No,0.0,0.8954895471622634,0.8888888888888888,0
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,63,Other,South American,7,0.0,Fall,Hostel,Tourism,4,0.12107196966077176,3474,0.292749438699062,Sunny,1,No,0.0,0.6745965681721944,0.0,0
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,41,Other,Asian-SAARC,4,0.5714285714285714,Winter,Hostel,Family,5,0.6329502173892846,4819,0.3988868911804565,Sunny,0,Yes,0.5,0.20447718299700543,0.4444444444444444,0
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,56,Male,South American,3,0.5357142857142857,Spring,Hotel,Family,3,0.899096207552394,755,0.8524509639490927,Cloudy,3,Yes,0.0,0.9332919039989193,1.0,1
9132b63e-f162-47e4-a9c3-49e03602f8ac,42,Male,Asian-Others,8,0.35714285714285715,Winter,Hotel,Education,5,0.6236015411663725,2868,0.49974907095319543,Sunny,4,Yes,0.0,0.2645527556194076,0.2222222222222222,0
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,30,Female,North American,5,0.42857142857142855,Monsoon,Resort,Family,7,0.13350127801614442,142,0.6786408151882342,Cloudy,3,Yes,0.5,0.14985982870418638,0.6666666666666666,0
e27a984d-6548-41d0-bfcd-9eb1a7cad415,29,Male,Asian-Others,7,0.6071428571428571,Summer,HomeStay,Education,2,0.11522220384927066,2411,0.39124378192782105,Cloudy,3,Yes,1.0,0.08988347438362279,0.3333333333333333,0
24933b83-7577-40a9-a491-f0b2ea1fca65,61,Male,North American,4,0.35714285714285715,Spring,Hotel,Business,4,0.8442154085299789,1760,0.262673937300572,Cloudy,1,No,1.0,0.5636896994934391,0.3333333333333333,0
beb79919-3f22-4af8-a3be-d01d43cf2fde,65,Other,North American,4,0.9642857142857143,Fall,Resort,Education,1,0.13878283289209364,4791,0.9548259661728501,Rainy,3,No,1.0,0.11369824855444513,0.0,0
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,58,Male,Europe,8,0.39285714285714285,Monsoon,HomeStay,Family,1,0.520009152512584,2324,0.603199438670067,Rainy,1,No,0.5,0.1387322637117057,0.0,0
956269f0-e5d7-4875-adad-d6c795a76d79,69,Other,South American,8,0.17857142857142855,Summer,Hotel,Business,6,0.036514221335100086,2210,0.9341036930635552,Snowy,4,Yes,0.5,0.30011962094431255,1.0,0
ff50bde4-3825-47b8-9cab-cc97663f1c97,66,Other,Asian-SAARC,2,0.2857142857142857,Winter,Resort,Education,9,0.08010459393663281,1057,0.20238417681109497,Snowy,4,No,1.0,0.2817270198796611,0.1111111111111111,0
7e570ddf-8270-40a8-a369-b584ff5e9ff0,17,Other,Asian-SAARC,2,0.5357142857142857,Summer,Resort,Family,9,0.6722439397453784,660,0.1457739553489186,Cloudy,1,Yes,0.0,0.6045791056741595,0.1111111111111111,0
dc713d96-0c0f-4195-817a-f08a1745d6d8,51,Female,Oceania,3,0.10714285714285714,Monsoon,HomeStay,Tourism,9,0.6890901935000255,1430,0.8558489386922173,Rainy,0,No,1.0,0.8172598306041813,0.0,1
28f49481-a0a0-4dc4-a720-9bdf1c11f735,65,Female,North American,3,0.07142857142857142,Monsoon,Resort,Tourism,5,0.34110736433910144,1412,0.6806604457684661,Sunny,4,Yes,0.5,0.761818600172562,0.7777777777777777,1
98ae4334-6c12-4ce8-ae34-0454cac5b68c,21,Female,Asian-SAARC,1,0.9642857142857143,Summer,HomeStay,Education,3,0.21514969362751074,1921,0.18552245479388715,Snowy,0,Yes,0.0,0.26254268345933396,0.5555555555555556,0
988c24c9-61b1-4d22-a280-1c4510435a10,35,Other,Europe,3,0.5357142857142857,Winter,HomeStay,Education,4,0.8137160466595108,3102,0.26843750200446104,Rainy,4,No,0.0,0.24535458742725266,0.5555555555555556,0
405cacec-8774-49a9-b7d2-1e02ff01cf99,23,Female,North American,6,0.8214285714285714,Summer,HomeStay,Tourism,0,0.21664432108126636,3503,0.8006007886436611,Sunny,4,No,0.5,0.9664287908691501,1.0,1
f143262f-dc5c-4eed-8da0-365bf89897b9,53,Female,Europe,8,0.9285714285714285,Monsoon,Hostel,Family,6,0.5418212374129763,2751,0.4532447468457862,Sunny,2,No,0.0,0.008085148032502168,1.0,0
1d53434b-b881-49b9-ae27-0da702f06b90,32,Male,Asian-SAARC,6,0.8928571428571428,Monsoon,Resort,Family,7,0.968334952352044,1914,0.670266961952776,Rainy,3,No,1.0,0.8802869316556873,0.8888888888888888,1
c0398710-8976-4334-a281-7efdae849217,18,Female,Asian-SAARC,5,0.8571428571428571,Fall,HomeStay,Family,8,0.14733959153343995,1841,0.31750903731271873,Snowy,3,No,0.5,0.1997350809655776,0.4444444444444444,0
5715bd6f-a416-4293-84c2-e2e3444ea7c8,39,Female,Oceania,4,0.39285714285714285,Fall,Hotel,Education,7,0.9409810902349839,4801,0.38048863290483426,Rainy,0,Yes,0.5,0.9479063468867238,0.3333333333333333,0
287d06ca-6f4c-469a-8b22-d3081c8eaee9,28,Other,Asian-SAARC,3,0.35714285714285715,Spring,Hostel,Business,4,0.18240749911527598,3908,0.9909566881786492,Snowy,3,No,0.5,0.3424312316274316,0.5555555555555556,0
b8db0672-f42d-47cc-80d4-af5974273ca3,64,Other,North American,4,0.14285714285714285,Monsoon,Hostel,Business,2,0.5672571718490049,2977,0.24665973370438435,Cloudy,0,No,0.5,0.440556440624008,0.7777777777777777,0
f8cda88b-436d-46e2-b83c-fe0be037e5ed,23,Other,North American,7,0.8571428571428571,Fall,Resort,Business,9,0.3766733497050188,3370,0.5059175310462392,Rainy,4,Yes,0.0,0.7075449111972127,0.0,0
81f76d1c-2dbc-4134-830f-f46e8026695f,40,Other,North American,1,0.6071428571428571,Summer,HomeStay,Business,8,0.9650521580836372,4183,0.8444099092799956,Rainy,2,No,0.5,0.5879950043728936,0.6666666666666666,1
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,67,Other,Oceania,7,0.6428571428571428,Winter,Resort,Business,5,0.2731270795707518,845,0.23825228845820365,Snowy,2,Yes,0.5,0.3180432143933932,0.7777777777777777,0
81f631d4-a392-41a7-9777-a4774c66e0a8,16,Other,Oceania,1,0.7857142857142857,Summer,Hostel,Education,4,0.39934128165198013,657,0.4145273839443959,Snowy,4,No,0.0,0.5541290098638919,0.8888888888888888,0
5fb8d16c-2720-497d-b2eb-d6899be578c7,34,Female,Asian-SAARC,2,0.7857142857142857,Winter,HomeStay,Education,2,0.9829976409065887,3401,0.614728089066718,Rainy,1,No,0.5,0.7311506001688176,0.7777777777777777,1
f4188f3f-8a14-4e62-a95b-4715c333e861,42,Other,Asian-Others,4,0.17857142857142855,Fall,Hotel,Business,5,0.5362602309586647,1041,0.48060845024445464,Sunny,1,Yes,0.0,0.04221192577255617,0.6666666666666666,0
eb2263dd-87c5-421e-ac24-a3c5c754108f,61,Other,Asian-Others,1,0.75,Spring,HomeStay,Education,2,0.502393597934417,4123,0.45888750225071895,Sunny,3,No,0.0,0.011050651183628912,0.2222222222222222,0
7d154385-52fb-443b-9954-6eb400257ad1,21,Male,Oceania,9,0.6071428571428571,Summer,Hostel,Education,9,0.25735126089261084,2396,0.36173814343245203,Sunny,0,No,0.5,0.45828619068161214,0.1111111111111111,0
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,58,Female,Asian-SAARC,6,0.8928571428571428,Summer,Hotel,Business,5,0.7012818317954016,1039,0.5862371378899021,Cloudy,2,No,1.0,0.1317872843115024,0.2222222222222222,0
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,22,Female,Asian-Others,1,0.17857142857142855,Summer,HomeStay,Family,3,0.013756141170776878,1710,0.6240245063828151,Cloudy,3,No,0.5,0.6647333710135711,0.3333333333333333,0
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,61,Female,Asian-SAARC,1,0.10714285714285714,Winter,Hotel,Education,1,0.0489231886286476,1825,0.6529881039127545,Snowy,4,Yes,1.0,0.21407081095385347,0.3333333333333333,0
14296c07-f26b-4776-913e-4de2e0c53cb8,49,Other,Asian-SAARC,6,0.39285714285714285,Fall,Hotel,Family,7,0.5991974091584867,1084,0.06912416724989179,Cloudy,2,Yes,0.0,0.4330495982346263,0.5555555555555556,0
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,28,Other,Asian-SAARC,4,0.6428571428571428,Summer,Hostel,Education,3,0.34131269134940534,1687,0.6306967548633083,Sunny,0,No,1.0,0.19767580471201243,0.6666666666666666,0
885f6e66-c2b6-42c5-ba5d-310011b7e948,31,Other,South American,4,0.9999999999999999,Summer,Hotel,Education,8,0.9534308842691067,4121,0.9534207158093045,Rainy,0,No,0.5,0.5487772772935967,0.3333333333333333,1
a8e56e0c-20de-435d-a031-d750c40db9b4,50,Male,North American,6,0.9285714285714285,Spring,Resort,Business,6,0.9032661609842855,1436,0.5405032195629639,Cloudy,1,Yes,0.5,0.11599113163384653,1.0,0
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,64,Other,Asian-SAARC,7,0.9999999999999999,Spring,Hostel,Education,1,0.713634143621852,3237,0.7150658546688394,Cloudy,3,Yes,1.0,0.022968002187506775,0.5555555555555556,0
9b49bd26-df57-459a-8715-a10343dac043,54,Male,South American,9,0.03571428571428571,Fall,Resort,Tourism,3,0.8181548115971001,761,0.5562747510240851,Sunny,4,No,0.5,0.05101586028474961,0.8888888888888888,0
edcd465e-3638-4821-b6e0-7cc06c52c49f,18,Female,Oceania,5,0.5714285714285714,Fall,Hotel,Tourism,4,0.6672236145909952,132,0.854764900248807,Cloudy,2,Yes,1.0,0.9548862070970657,0.5555555555555556,1
b09b2a5c-badc-432a-8159-0f538a0f4efb,16,Other,Asian-Others,9,0.35714285714285715,Monsoon,Resort,Business,2,0.1250519104999575,3514,0.929728386229549,Snowy,0,Yes,0.0,0.14224548826493014,0.2222222222222222,0
66245bfa-4fcc-439a-b683-d2e6337ea2df,20,Male,North American,4,0.35714285714285715,Spring,HomeStay,Family,8,0.7655116294363566,1256,0.18316004130533978,Rainy,2,Yes,1.0,0.7089036681326709,0.0,0
5f987c71-a65e-488e-abf3-ad39fec21bbe,68,Male,Asian-Others,2,0.7142857142857143,Monsoon,Hotel,Family,4,0.20972767729905017,3226,0.43620866287026083,Sunny,4,Yes,1.0,0.06782425335054573,1.0,0
7394988f-847f-49b4-a64d-1bcb702753a1,56,Other,North American,3,0.5357142857142857,Winter,HomeStay,Family,1,0.3230667723406773,160,0.3916588125501911,Snowy,2,No,1.0,0.10809152609715303,1.0,0
1064005c-3985-43cf-bf76-be1d1efa2197,18,Female,Asian-Others,1,0.03571428571428571,Monsoon,Resort,Tourism,2,0.8192442904827852,4028,0.40451258414633806,Sunny,3,Yes,1.0,0.509137334274632,0.4444444444444444,0
8dcdcd03-969b-4662-8562-8059568cc69b,68,Female,North American,6,0.03571428571428571,Summer,HomeStay,Family,8,0.5363154911711236,1643,0.12436942034528906,Snowy,1,No,0.0,0.46509578348219016,1.0,0
01d74256-3860-4ab6-96a4-02f23ae8cc93,43,Female,Asian-Others,6,0.7857142857142857,Monsoon,Hotel,Family,6,0.8599824979757833,371,0.8135735143505988,Rainy,2,No,0.0,0.9522058701181372,1.0,1
0f1259e0-a18f-46b6-b535-106e122c9a56,32,Male,Asian-Others,1,0.25,Fall,HomeStay,Business,1,0.21257324304801878,4176,0.03446635590921254,Rainy,1,Yes,0.0,0.9454554606653885,0.2222222222222222,0
080aadfb-e7c9-4b26-9141-25c63a9bedd4,40,Male,Asian-Others,3,0.42857142857142855,Winter,Resort,Family,8,0.6076238186693511,3488,0.527722961201351,Snowy,4,No,1.0,0.7800926191175229,0.7777777777777777,1
839fbc50-1223-4513-9496-f63cdc1110c1,58,Male,Asian-Others,5,0.3214285714285714,Summer,Resort,Tourism,3,0.08322823013275042,2852,0.6615908380389152,Snowy,1,No,0.0,0.6024396655193692,1.0,0
7c441fe7-ab42-40a7-874a-493b3ceddf2d,48,Male,Oceania,3,0.25,Monsoon,Resort,Tourism,8,0.6429338544196529,2809,0.20644717136972393,Snowy,2,Yes,0.5,0.45517701132317656,0.0,0
b92da22b-21df-406f-8a0b-3c3336d8393a,24,Female,Asian-SAARC,3,0.10714285714285714,Winter,Hotel,Tourism,1,0.7624999536192995,1254,0.905957110896325,Snowy,2,Yes,0.0,0.35631390131432294,0.1111111111111111,0
93829b43-922f-415a-a1e3-db63ef7ddc76,50,Other,Europe,3,0.5,Winter,Resort,Business,9,0.5847584785839784,4505,0.8385473093992675,Snowy,0,Yes,1.0,0.9477094087669312,0.2222222222222222,1
7914c120-c8dc-419f-be35-11287900f7f9,28,Male,South American,5,0.0,Summer,Hotel,Business,3,0.2658108580562352,3953,0.47048769079466657,Snowy,2,No,0.5,0.6032473112036089,0.2222222222222222,0
1825bc54-30be-445f-a835-14f2ceb81f9d,45,Male,Europe,5,0.35714285714285715,Monsoon,HomeStay,Education,4,0.030739075596619966,1845,0.4104559873391145,Rainy,1,No,1.0,0.579391403076099,0.7777777777777777,0
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,62,Female,Europe,4,0.2142857142857143,Winter,Resort,Family,1,0.1189139147229613,3532,0.23559270676774483,Snowy,0,No,0.5,0.2319341712840152,0.4444444444444444,0
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,29,Other,North American,1,0.5714285714285714,Winter,HomeStay,Business,9,0.6221596719861876,437,0.7298158069480633,Cloudy,2,No,1.0,0.04657838970336384,0.7777777777777777,0
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,22,Other,Asian-SAARC,5,0.9285714285714285,Spring,Hostel,Tourism,0,0.9345200111048942,109,0.13059909501566758,Rainy,2,Yes,1.0,0.9458088781330901,0.5555555555555556,0
0f844fef-1931-49ee-a56c-0941fbf24050,28,Female,North American,5,0.6785714285714285,Winter,HomeStay,Tourism,6,0.20606726375431994,4244,0.6799798884037472,Sunny,4,No,0.5,0.31383568232384296,0.1111111111111111,0
ccf3a171-56dc-4907-ba6c-34ab6712303a,37,Female,Asian-SAARC,4,0.8214285714285714,Spring,Hostel,Business,9,0.7349706396507117,830,0.8424614068334381,Rainy,0,Yes,0.0,0.4427955319804575,0.3333333333333333,0
310c0c00-3fa7-4104-9bf9-0e27dc96925e,54,Other,Asian-SAARC,6,0.6071428571428571,Monsoon,HomeStay,Business,0,0.8664979178111673,4990,0.22748326679202371,Sunny,4,Yes,0.5,0.11457645208882578,0.8888888888888888,0
23e2fcb4-72d8-467d-894a-05e430b187ef,35,Male,Asian-Others,4,0.75,Monsoon,Hotel,Business,7,0.5206598768967299,1748,0.8664705804761105,Sunny,4,Yes,0.5,0.8374554944330513,0.3333333333333333,1
766ecb15-474e-4c19-aef9-12766c006f61,30,Other,Oceania,7,0.9999999999999999,Monsoon,HomeStay,Education,2,0.6691590670757108,4328,0.03201936226882082,Cloudy,4,Yes,0.5,0.027496707667570536,0.4444444444444444,0
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,59,Female,Asian-Others,7,0.75,Fall,Hotel,Tourism,9,0.8150221090503256,3754,0.9129055206700954,Snowy,3,No,0.5,0.8345195114193803,0.4444444444444444,1
db20a56e-dc81-4fe7-8eda-8bbb71710434,32,Male,Oceania,2,0.39285714285714285,Monsoon,Hotel,Education,5,0.2602501865823193,2230,0.11719588707656448,Snowy,4,Yes,0.5,0.14024263485118701,1.0,0
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,61,Male,North American,3,0.2857142857142857,Winter,Resort,Education,6,0.2964989144848802,4571,0.6454455653897194,Rainy,1,No,1.0,0.8871361455389134,0.7777777777777777,1
03c72ba8-d605-4770-8a63-f881ffd0f9d5,67,Female,Oceania,1,0.14285714285714285,Summer,Hotel,Family,9,0.0,2496,0.2491291016263066,Snowy,2,Yes,1.0,0.730215583977436,0.5555555555555556,0
c0e9ab30-ed26-42e9-97e0-11b7f8102383,38,Female,North American,8,0.3214285714285714,Spring,Hostel,Tourism,0,0.9632162586502292,4466,0.836547264967885,Cloudy,3,Yes,0.0,0.16464796092249276,1.0,0
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,40,Female,Europe,9,0.10714285714285714,Fall,Resort,Tourism,5,0.9176315450360618,1606,0.5117709638421933,Rainy,4,Yes,0.0,0.5661259558041639,0.6666666666666666,0
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,39,Other,Europe,4,0.14285714285714285,Monsoon,Resort,Business,6,0.7645357640177146,2258,0.1341021414307266,Rainy,2,No,0.5,0.31275584954047786,0.5555555555555556,0
2a25a888-0f02-4ad0-a706-7ef466aa9385,59,Other,Oceania,6,0.9642857142857143,Monsoon,HomeStay,Business,5,0.07850960618757154,3016,0.5705570698560106,Rainy,0,Yes,0.0,0.17822196359656386,0.4444444444444444,0
63f2ae24-fc3d-4348-808d-4127610461e3,55,Male,Oceania,9,0.9642857142857143,Summer,Hotel,Family,3,0.4472234346114847,4271,0.40718438400294554,Snowy,0,Yes,0.0,0.8597316888168071,0.4444444444444444,0
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,43,Female,North American,6,0.3214285714285714,Summer,Hotel,Education,0,0.1013431098622918,3329,0.6611595704326256,Snowy,2,Yes,0.5,0.40369711195264235,0.2222222222222222,0
b253d218-6c4a-47ea-8906-17f2747b6dba,29,Male,Asian-Others,9,0.35714285714285715,Fall,Hostel,Business,8,0.01530466182628544,3703,0.8819714847101935,Snowy,1,Yes,1.0,0.3987139605620933,0.6666666666666666,0
c88a618e-fed4-457d-bb02-6576f512c4c3,59,Male,North American,4,0.7142857142857143,Spring,HomeStay,Business,3,0.6160348913786355,1766,0.4086933408263128,Rainy,2,No,1.0,0.16986866788889263,1.0,0
7c967f79-b7e9-4aca-a970-65e18e46d534,15,Male,Asian-Others,8,0.8214285714285714,Monsoon,HomeStay,Tourism,6,0.9609497808961184,4524,0.2889916604711261,Rainy,2,No,0.0,0.3832231792288877,0.4444444444444444,0
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,39,Male,Europe,9,0.3214285714285714,Fall,Resort,Tourism,6,0.9029432423750922,4236,0.013180847241843291,Sunny,3,Yes,1.0,0.8721765731670535,0.6666666666666666,0
bc594585-9445-48c0-8ef8-c2d6f7fd5646,21,Female,Asian-SAARC,4,0.9642857142857143,Winter,Resort,Business,1,0.6966694967685033,3069,0.5744107572133553,Sunny,0,Yes,1.0,0.363269799548695,0.1111111111111111,0
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,23,Male,Oceania,5,0.25,Winter,Resort,Tourism,0,0.09608785003328622,2789,0.4015674741280494,Snowy,0,No,0.0,0.952229142322277,0.8888888888888888,0
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,38,Female,Asian-Others,8,0.03571428571428571,Fall,Hostel,Family,7,0.273749572710184,2426,0.3738972590047044,Rainy,4,No,0.5,0.9469301199398271,0.7777777777777777,0
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,15,Female,North American,6,0.7857142857142857,Monsoon,Hostel,Business,7,0.31967800674391156,2910,0.18187338630748082,Snowy,2,No,0.0,0.14486007978118096,0.4444444444444444,0
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,58,Other,Europe,7,0.25,Fall,Resort,Tourism,6,0.7631164533939261,2616,0.4293929692557251,Snowy,2,Yes,0.0,0.17729935925322862,0.1111111111111111,0
118a9d29-2f92-4996-99f1-95d014822f53,22,Female,Asian-Others,3,0.5357142857142857,Monsoon,HomeStay,Family,7,0.8022460283415912,3571,0.9846759444342551,Sunny,1,No,0.0,0.8632264345914621,0.5555555555555556,1
